name,comment_id,reply_name,reply_text,source,text
iPhone 6,说失业的都没脑子，脑子让狗吃了，韩国宁愿赔钱也关门店，萨德都进你家了，你都没勇气抵制吗，你有手有脚，在哪不能工作。说你是中国人你亏吗,4087670252481100,-,庞亦凡,-
红米Note 2,回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:你有算过背后有多少企业对乐天的下架虎视眈眈？？对于员工来说，只不过是换了个老板罢了,4087670223221048,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",陈_怀琪,羞涩的起哄架秧子星人
iPhone 7 Plus,"回复<a href='http://m.weibo.cn/n/瑜轩佳'>@瑜轩佳</a>:是啊     <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>某档带领几千万小粉红在新时代文革的道路越走越远<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>",4087670210162298,回复<a href='http://m.weibo.cn/n/玩家xx'>@玩家xx</a>:错了，不是某国，是某D的作为！,素颜小追追,瑜轩佳
iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/忆起呢喃细语'>@忆起呢喃细语</a>:我滴神，自己脑子不好就别拉着大家跟你一样好嘛。有空多少们看看书、有病就吃药。没事别老犯病。,4087670194219804,回复<a href='http://m.weibo.cn/n/小鹿不喜欢套路'>@小鹿不喜欢套路</a>:你自己就是层主吧   围观啦围观啦  层主自己开了小号出水军了,小鹿不喜欢套路,忆起呢喃细语
iPhone 7 Plus,回复<a href='http://m.weibo.cn/n/玩家xx'>@玩家xx</a>:只有强国才敢率先耍流氓。例如当年的日法英俄奥，西葡德美意。,4087670080706702,觉得某国有点耍流氓,滕faifai,玩家xx
iPhone 7 Plus,"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:你头上还是绿的呢<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png"" style=""width:1em;height:1em;;""></span>",4087670038579691,你们有没有发现微博的赞变成蓝色了,一揪毛,说个晚安
微博 weibo.com,乐天滚蛋自然会有其他超市经营者接盘，很多人是杞人忧天,4087670029789982,-,终无盐,-
iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/布偶_'>@布偶_</a>:我是高中生？还哥们？呵呵，就你这在背后絮絮叨叨的态度和猜错了的本事也就那样了，还和满嘴喷粪的公知聊的这么开心，呵呵，你能好到哪里去,4087670009319771,回复<a href='http://m.weibo.cn/n/-未濟'>@-未濟</a>:确实说不通，驴唇不对马嘴。这哥们不知道在哪找了张打自己脸的图片要说服我。。。我感觉他也就高中生，多活几年自然明白了,小肉肉想见takuya,布偶_
iPhone 6s Plus,"回复<a href='http://m.weibo.cn/n/速度二'>@速度二</a>:我可怜啥呢，要啥有啥，不像你跪舔拿着微薄的津贴艰难度日<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;;""></span>我朋友都美着呢不用你操心生计问题 当然你可以去问问乐天员工感受，信不信随你哦<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",4087669983648257,"回复<a href='http://m.weibo.cn/n/写五进三'>@写五进三</a>:确实可怜，你朋友，你怎么不说你自己呢，说不定我真信了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",写五进三,速度二
iPhone 6s,回复<a href='http://m.weibo.cn/n/esun123'>@esun123</a>:你妈生你养你，给你逼水吃了？,4087669950823148,回复<a href='http://m.weibo.cn/n/单身单到一个境界'>@单身单到一个境界</a>:脑残最喜欢人身攻击！因为他们嘴里除了屎没别的,单身单到一个境界,esun123
