source,reply_name,reply_text,comment_id,text,name
三星 GALAXY Note 5,Pilot舒克,回复<a href='http://m.weibo.cn/n/个人奋斗与历史进程'>@个人奋斗与历史进程</a>:你很牛逼，你谁都不怕谁都不服，到哪里都是你老大，从来都是别人低头行了吧。,4088452347930132,回复<a href='http://m.weibo.cn/n/Pilot舒克'>@Pilot舒克</a>:典型的屌丝心态,个人奋斗与历史进程
微博 weibo.com,-,-,4088451601706868,一个萨德就能看出来有多少sb了，鹅毛布置的雷达怎么不抵制？曹县试验核武器，我边境居民都有震感，这时候爱国人怎么不出来抗议啊？,vgg轩然
微博 weibo.com,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:啊也！ 一口一个仁义道德  我真的好害怕 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>满口道德的道德婊子 跟着萨德一起进土吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9f81f72301.png"" style=""width:1em;height:1em;;""></span>",4088446412711809,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>贼喊捉贼的婊子，被揭穿啦，不敢说话啦，真够臭，抹黑本人还不够，还要来定性乐天半店与制裁有关，可见您个烂婊子有多歹毒，垃圾，希您一切安好。问好。",TONY3093-李诚涌
中兴V5手机,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:啊也！ 一口一个仁义道德  我真的好害怕 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>满口道德的道德婊子 跟着萨德一起进土吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9f81f72301.png"" style=""width:1em;height:1em;;""></span>",4088444903024134,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>垃圾，您这要定性乐天关店与制裁有关啊，用心险恶，自个儿做婊子还要立牌坊，不仅抹黑人，还要黑本土，恶毒嘴脸尽显，想安好。问好。",TONY3093-李诚涌
微博 weibo.com,-,-,4088444227177490,"这就是与中国为敌的 下场<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-3458a765a2.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;;""></span>谁瞅谁不乐<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span>",战场肆郎_596
荣耀7 世界有点不同,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>去您妈逼，您去比对一下本土有多少企业停业会依法给付薪资，您眼瞎啦，还是文盲，本土新闻看不到啦，您嘴巴再不干净将与您造假平台的主子一样病入膏肓，希您与您主子一切安好。问好。",4088443431018479,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:啊也！ 一口一个仁义道德  我真的好害怕 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>满口道德的道德婊子 跟着萨德一起进土吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9f81f72301.png"" style=""width:1em;height:1em;;""></span>",风儿向着好花吹
vivo智能手机,-,-,4088438539488601,韩国乐天集团，你们还有一点良知吗？中国这样好的市场，你们不用本地的人做主要负责人，市场定位完全错误。现在还给美国人，韩国政府当条走狗，有意思啊。不要以为我们堂堂中华儿女好欺负，精武门，日本欺负中国同胞，陈真一个人为了民族大义踢倒了“东亚病夫”。中国不欢迎你们这群吃里扒外的白眼狼。,大学教授谭震林
OPPO R9s,猫巷里的树语,希望政府能安顿中国员工吧。。,4088432114850001,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:中国少了99家超市就不能过了？？？？公知们还真是无脑喷啊,妍皮柚菀
iPhone 6 Plus,-,-,4088425416442069,国家家安🙏🏻🙏🏻🙏🏻🙏🏻,占卜师鸿善
iPhone 6s Plus,溪上漂流,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,4088423013392041,回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:你们都不要骂她了……一看她就是个苦情的女子。她母亲被日本人轮奸致死，父亲在牲口棚里苟延残喘，丈夫出轨，女儿从小做鸡，儿子刚刚遭雷劈夭折，她自己只能靠白天骂国家、晚上吃外国人鸡巴挣黑心钱过活，大家可怜可怜她吧。,用户6063511240
iPhone,-,-,4088407586300521,"我想问问剩下的百分之十在哪儿<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",孟晓竣a
iPhone 6s,爱上爱吃柠檬的女人,"回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:是 我们国家是有拆迁 食品 安全 各方面的问题 但你不能一棒子打死  就说自己的祖国是流氓回家 每个国家都有问题 就因为有问题才要发展 美国不也是有窃听丑闻吗 英国不也是有恐怖袭击 有苏格兰公投独立么 但是没有国家 你还能安呆的生活？工作？ 再说了农产品的问题 你应该@ 新闻媒体 不是让我看 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",4088404288808258,回复<a href='http://m.weibo.cn/n/爱上爱吃柠檬的女人'>@爱上爱吃柠檬的女人</a>:呵呵，你说的挺有意思，新闻媒体敢曝光吗？我们国家缺的是新闻监督，缺的是表达自由，缺的东西太多，我承认有好的方面，但是唱赞歌的人很多不缺我一个，所以如果我这样唱反调的都要被压制，我想说以后无论是谁反对的声音都会被湮灭！,黄太子老师
iPhone 7,黄太子老师,回复<a href='http://m.weibo.cn/n/爱上爱吃柠檬的女人'>@爱上爱吃柠檬的女人</a>:看我最新一条微博，你还那么自豪的话，那我也佩服你,4088403463468763,"回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:是 我们国家是有拆迁 食品 安全 各方面的问题 但你不能一棒子打死  就说自己的祖国是流氓回家 每个国家都有问题 就因为有问题才要发展 美国不也是有窃听丑闻吗 英国不也是有恐怖袭击 有苏格兰公投独立么 但是没有国家 你还能安呆的生活？工作？ 再说了农产品的问题 你应该@ 新闻媒体 不是让我看 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",爱上爱吃柠檬的女人
